station,lat,lon,date,global_radiation_flux,temperature,relative_humidity,precipitation,wind_speed
SANPANCRAZIO,44.80806,10.27245,2023-06-01T00:00:00Z,0,287.48,92,0.0,0.4
SANPANCRAZIO,44.80806,10.27245,2023-06-01T00:15:00Z,0,286.93,92,0.0,0.7
SANPANCRAZIO,44.80806,10.27245,2023-06-01T00:30:00Z,0,286.67,95,0.0,1.0
SANPANCRAZIO,44.80806,10.27245,2023-06-01T00:45:00Z,0,286.64,96,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-06-01T01:00:00Z,0,286.76,96,0.0,1.0
SANPANCRAZIO,44.80806,10.27245,2023-06-01T01:15:00Z,0,287.18,96,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-06-01T01:30:00Z,0,287.22,94,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-06-01T01:45:00Z,0,287.36,94,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-06-01T02:00:00Z,0,287.65,93,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-06-01T02:15:00Z,0,287.9,92,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-06-01T02:30:00Z,0,288.04,92,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-06-01T02:45:00Z,0,288.21,91,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-06-01T03:00:00Z,0,288.31,90,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-06-01T03:15:00Z,0,288.21,90,0.0,2.5
SANPANCRAZIO,44.80806,10.27245,2023-06-01T03:30:00Z,0,288.24,90,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-06-01T03:45:00Z,3,288.25,90,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-06-01T04:00:00Z,15,288.38,89,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-06-01T04:15:00Z,42,288.58,88,0.0,1.4
SANPANCRAZIO,44.80806,10.27245,2023-06-01T04:30:00Z,79,288.77,86,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-06-01T04:45:00Z,130,289.13,85,0.0,1.3
SANPANCRAZIO,44.80806,10.27245,2023-06-01T05:00:00Z,148,289.56,83,0.0,1.2
SANPANCRAZIO,44.80806,10.27245,2023-06-01T05:15:00Z,189,289.92,81,0.0,1.8
