station,lat,lon,date,global_radiation_flux,temperature,relative_humidity,precipitation,wind_speed
SANPANCRAZIO,44.80806,10.27245,2023-08-01T00:00:00Z,0,295.02,70,0.0,2.1
SANPANCRAZIO,44.80806,10.27245,2023-08-01T00:15:00Z,0,294.88,70,0.0,2.1
SANPANCRAZIO,44.80806,10.27245,2023-08-01T00:30:00Z,0,294.76,69,0.0,2.2
SANPANCRAZIO,44.80806,10.27245,2023-08-01T00:45:00Z,0,294.99,61,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-08-01T01:00:00Z,0,294.97,58,0.0,2.2
SANPANCRAZIO,44.80806,10.27245,2023-08-01T01:15:00Z,0,294.96,57,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-08-01T01:30:00Z,0,295.09,55,0.0,2.3
SANPANCRAZIO,44.80806,10.27245,2023-08-01T01:45:00Z,0,294.91,54,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-08-01T02:00:00Z,0,294.7,56,0.0,2.4
SANPANCRAZIO,44.80806,10.27245,2023-08-01T02:15:00Z,0,294.58,57,0.0,2.3
SANPANCRAZIO,44.80806,10.27245,2023-08-01T02:30:00Z,0,294.16,63,0.0,2.2
SANPANCRAZIO,44.80806,10.27245,2023-08-01T02:45:00Z,0,293.65,71,0.0,1.2
SANPANCRAZIO,44.80806,10.27245,2023-08-01T03:00:00Z,0,293.26,72,0.0,1.3
SANPANCRAZIO,44.80806,10.27245,2023-08-01T03:15:00Z,0,293.01,72,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-08-01T03:30:00Z,0,293.28,72,0.0,2.9
SANPANCRAZIO,44.80806,10.27245,2023-08-01T03:45:00Z,0,293.3,72,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-08-01T04:00:00Z,0,293.14,72,0.0,0.9
SANPANCRAZIO,44.80806,10.27245,2023-08-01T04:15:00Z,1,292.79,74,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-08-01T04:30:00Z,12,292.4,75,0.0,1.3
SANPANCRAZIO,44.80806,10.27245,2023-08-01T04:45:00Z,28,292.38,74,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-08-01T05:00:00Z,62,293.2,68,0.0,2.3
SANPANCRAZIO,44.80806,10.27245,2023-08-01T05:15:00Z,66,294.05,64,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-08-01T05:30:00Z,116,295.05,59,0.0,2.6
SANPANCRAZIO,44.80806,10.27245,2023-08-01T05:45:00Z,145,296.32,54,0.0,2.7
SANPANCRAZIO,44.80806,10.27245,2023-08-01T06:00:00Z,130,296.74,53,0.0,3.0
SANPANCRAZIO,44.80806,10.27245,2023-08-01T06:15:00Z,143,296.86,53,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-08-01T06:30:00Z,204,297.29,53,0.0,2.1
SANPANCRAZIO,44.80806,10.27245,2023-08-01T06:45:00Z,165,297.37,53,0.0,2.4
SANPANCRAZIO,44.80806,10.27245,2023-08-01T07:00:00Z,176,297.32,54,0.0,2.6
SANPANCRAZIO,44.80806,10.27245,2023-08-01T07:15:00Z,229,297.64,54,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-08-01T07:30:00Z,317,298.12,54,0.0,0.6
SANPANCRAZIO,44.80806,10.27245,2023-08-01T07:45:00Z,365,299.01,54,0.0,2.6
SANPANCRAZIO,44.80806,10.27245,2023-08-01T08:00:00Z,462,299.69,52,0.0,4.2
SANPANCRAZIO,44.80806,10.27245,2023-08-01T08:15:00Z,634,300.48,52,0.0,4.7
SANPANCRAZIO,44.80806,10.27245,2023-08-01T08:30:00Z,604,300.89,51,0.0,5.6
SANPANCRAZIO,44.80806,10.27245,2023-08-01T08:45:00Z,683,301.2,50,0.0,6.1
SANPANCRAZIO,44.80806,10.27245,2023-08-01T09:00:00Z,776,301.46,49,0.0,6.6
SANPANCRAZIO,44.80806,10.27245,2023-08-01T09:15:00Z,575,301.73,48,0.0,5.7
SANPANCRAZIO,44.80806,10.27245,2023-08-01T09:30:00Z,560,301.63,48,0.0,5.8
SANPANCRAZIO,44.80806,10.27245,2023-08-01T09:45:00Z,695,302.12,45,0.0,6.4
SANPANCRAZIO,44.80806,10.27245,2023-08-01T10:00:00Z,576,301.85,46,0.0,6.3
SANPANCRAZIO,44.80806,10.27245,2023-08-01T10:15:00Z,818,302.48,44,0.0,6.3
SANPANCRAZIO,44.80806,10.27245,2023-08-01T10:30:00Z,847,303.0,43,0.0,5.5
SANPANCRAZIO,44.80806,10.27245,2023-08-01T10:45:00Z,589,302.44,44,0.0,6.3
SANPANCRAZIO,44.80806,10.27245,2023-08-01T11:00:00Z,672,302.34,45,0.0,5.5
SANPANCRAZIO,44.80806,10.27245,2023-08-01T11:15:00Z,737,302.91,44,0.0,6.3
SANPANCRAZIO,44.80806,10.27245,2023-08-01T11:30:00Z,825,303.42,42,0.0,6.8
SANPANCRAZIO,44.80806,10.27245,2023-08-01T11:45:00Z,829,303.54,42,0.0,6.8
SANPANCRAZIO,44.80806,10.27245,2023-08-01T12:00:00Z,778,303.52,41,0.0,6.8
SANPANCRAZIO,44.80806,10.27245,2023-08-01T12:15:00Z,798,303.92,41,0.0,6.8
SANPANCRAZIO,44.80806,10.27245,2023-08-01T12:30:00Z,636,303.89,41,0.0,6.8
SANPANCRAZIO,44.80806,10.27245,2023-08-01T12:45:00Z,619,303.79,41,0.0,6.8
SANPANCRAZIO,44.80806,10.27245,2023-08-01T13:00:00Z,533,303.24,42,0.0,6.2
SANPANCRAZIO,44.80806,10.27245,2023-08-01T13:15:00Z,518,303.09,42,0.0,6.1
SANPANCRAZIO,44.80806,10.27245,2023-08-01T13:30:00Z,669,303.45,41,0.0,7.2
SANPANCRAZIO,44.80806,10.27245,2023-08-01T13:45:00Z,708,303.64,41,0.0,7.6
SANPANCRAZIO,44.80806,10.27245,2023-08-01T14:00:00Z,627,303.96,40,0.0,6.6
SANPANCRAZIO,44.80806,10.27245,2023-08-01T14:15:00Z,397,303.56,40,0.0,6.4
SANPANCRAZIO,44.80806,10.27245,2023-08-01T14:30:00Z,455,303.27,40,0.0,6.8
SANPANCRAZIO,44.80806,10.27245,2023-08-01T14:45:00Z,463,303.09,39,0.0,6.9
SANPANCRAZIO,44.80806,10.27245,2023-08-01T15:00:00Z,481,303.64,38,0.0,6.2
SANPANCRAZIO,44.80806,10.27245,2023-08-01T15:15:00Z,431,303.67,39,0.0,4.7
SANPANCRAZIO,44.80806,10.27245,2023-08-01T15:30:00Z,453,303.76,39,0.0,5.0
SANPANCRAZIO,44.80806,10.27245,2023-08-01T15:45:00Z,315,303.65,39,0.0,5.9
SANPANCRAZIO,44.80806,10.27245,2023-08-01T16:00:00Z,321,303.28,40,0.0,5.9
SANPANCRAZIO,44.80806,10.27245,2023-08-01T16:15:00Z,299,303.07,39,0.0,6.3
SANPANCRAZIO,44.80806,10.27245,2023-08-01T16:30:00Z,267,303.1,40,0.0,5.4
SANPANCRAZIO,44.80806,10.27245,2023-08-01T16:45:00Z,204,302.58,41,0.0,5.6
SANPANCRAZIO,44.80806,10.27245,2023-08-01T17:00:00Z,206,302.83,41,0.0,5.1
SANPANCRAZIO,44.80806,10.27245,2023-08-01T17:15:00Z,132,302.03,42,0.0,5.9
SANPANCRAZIO,44.80806,10.27245,2023-08-01T17:30:00Z,185,301.98,43,0.0,5.3
SANPANCRAZIO,44.80806,10.27245,2023-08-01T17:45:00Z,42,301.29,44,0.0,5.4
SANPANCRAZIO,44.80806,10.27245,2023-08-01T18:00:00Z,86,300.79,45,0.0,4.8
SANPANCRAZIO,44.80806,10.27245,2023-08-01T18:15:00Z,75,300.7,45,0.0,5.5
SANPANCRAZIO,44.80806,10.27245,2023-08-01T18:30:00Z,13,300.25,45,0.0,5.4
SANPANCRAZIO,44.80806,10.27245,2023-08-01T18:45:00Z,4,299.78,47,0.0,5.7
SANPANCRAZIO,44.80806,10.27245,2023-08-01T19:00:00Z,0,299.44,48,0.0,5.9
SANPANCRAZIO,44.80806,10.27245,2023-08-01T19:15:00Z,0,299.1,49,0.0,5.5
SANPANCRAZIO,44.80806,10.27245,2023-08-01T19:30:00Z,0,298.91,49,0.0,5.3
SANPANCRAZIO,44.80806,10.27245,2023-08-01T19:45:00Z,0,298.77,49,0.0,5.0
SANPANCRAZIO,44.80806,10.27245,2023-08-01T20:00:00Z,0,298.69,49,0.0,5.5
SANPANCRAZIO,44.80806,10.27245,2023-08-01T20:15:00Z,0,298.53,49,0.0,5.2
SANPANCRAZIO,44.80806,10.27245,2023-08-01T20:30:00Z,0,298.34,49,0.0,4.6
SANPANCRAZIO,44.80806,10.27245,2023-08-01T21:00:00Z,0,298.0,50,0.0,4.7
SANPANCRAZIO,44.80806,10.27245,2023-08-01T21:15:00Z,0,297.9,51,0.0,4.1
SANPANCRAZIO,44.80806,10.27245,2023-08-01T21:30:00Z,0,297.85,52,0.0,4.5
SANPANCRAZIO,44.80806,10.27245,2023-08-01T21:45:00Z,0,297.8,52,0.0,4.1
SANPANCRAZIO,44.80806,10.27245,2023-08-01T22:00:00Z,0,297.65,53,0.0,4.1
SANPANCRAZIO,44.80806,10.27245,2023-08-01T22:15:00Z,0,297.61,53,0.0,4.0
SANPANCRAZIO,44.80806,10.27245,2023-08-01T22:30:00Z,0,297.65,54,0.0,4.5
SANPANCRAZIO,44.80806,10.27245,2023-08-01T22:45:00Z,0,297.53,54,0.0,3.9
SANPANCRAZIO,44.80806,10.27245,2023-08-01T23:00:00Z,0,297.47,54,0.0,3.7
SANPANCRAZIO,44.80806,10.27245,2023-08-01T23:15:00Z,0,297.26,55,0.0,3.9
SANPANCRAZIO,44.80806,10.27245,2023-08-01T23:30:00Z,0,297.14,56,0.0,3.7
SANPANCRAZIO,44.80806,10.27245,2023-08-01T23:45:00Z,0,296.93,56,0.0,3.2
SANPANCRAZIO,44.80806,10.27245,2023-08-02T00:00:00Z,0,296.71,57,0.0,3.0
SANPANCRAZIO,44.80806,10.27245,2023-08-02T00:15:00Z,0,296.49,58,0.0,2.6
SANPANCRAZIO,44.80806,10.27245,2023-08-02T00:30:00Z,0,296.31,59,0.0,2.3
SANPANCRAZIO,44.80806,10.27245,2023-08-02T00:45:00Z,0,296.03,60,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-08-02T01:00:00Z,0,295.9,60,0.0,1.2
SANPANCRAZIO,44.80806,10.27245,2023-08-02T01:15:00Z,0,295.75,60,0.0,0.8
SANPANCRAZIO,44.80806,10.27245,2023-08-02T01:30:00Z,0,295.34,62,0.0,1.6
SANPANCRAZIO,44.80806,10.27245,2023-08-02T01:45:00Z,0,294.63,64,0.0,1.5
SANPANCRAZIO,44.80806,10.27245,2023-08-02T02:00:00Z,0,294.24,66,0.0,2.7
SANPANCRAZIO,44.80806,10.27245,2023-08-02T02:15:00Z,0,294.27,67,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-08-02T02:30:00Z,0,294.53,66,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-08-02T02:45:00Z,0,294.11,67,0.0,1.7
SANPANCRAZIO,44.80806,10.27245,2023-08-02T03:00:00Z,0,293.82,68,0.0,0.9
SANPANCRAZIO,44.80806,10.27245,2023-08-02T03:15:00Z,0,293.4,69,0.0,1.2
SANPANCRAZIO,44.80806,10.27245,2023-08-02T03:30:00Z,0,293.57,72,0.0,1.1
SANPANCRAZIO,44.80806,10.27245,2023-08-02T03:45:00Z,0,293.22,73,0.0,1.1
SANPANCRAZIO,44.80806,10.27245,2023-08-02T04:00:00Z,0,293.05,77,0.0,1.4
SANPANCRAZIO,44.80806,10.27245,2023-08-02T04:15:00Z,3,293.92,84,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-08-02T04:30:00Z,15,293.94,86,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-08-02T04:45:00Z,35,293.84,86,0.0,2.5
SANPANCRAZIO,44.80806,10.27245,2023-08-02T05:00:00Z,54,293.86,86,0.0,2.4
SANPANCRAZIO,44.80806,10.27245,2023-08-02T05:15:00Z,55,293.94,86,0.0,2.7
SANPANCRAZIO,44.80806,10.27245,2023-08-02T05:30:00Z,84,294.13,85,0.0,1.8
SANPANCRAZIO,44.80806,10.27245,2023-08-02T05:45:00Z,113,294.36,84,0.0,2.1
SANPANCRAZIO,44.80806,10.27245,2023-08-02T06:00:00Z,145,294.49,83,0.0,2.6
SANPANCRAZIO,44.80806,10.27245,2023-08-02T06:15:00Z,192,294.66,83,0.0,2.3
SANPANCRAZIO,44.80806,10.27245,2023-08-02T06:30:00Z,213,294.73,83,0.0,2.2
SANPANCRAZIO,44.80806,10.27245,2023-08-02T06:45:00Z,340,295.2,82,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-08-02T07:00:00Z,302,295.46,80,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-08-02T07:15:00Z,425,295.95,79,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-08-02T07:30:00Z,491,296.63,76,0.0,1.9
SANPANCRAZIO,44.80806,10.27245,2023-08-02T07:45:00Z,535,297.13,72,0.0,2.2
SANPANCRAZIO,44.80806,10.27245,2023-08-02T08:00:00Z,573,297.28,72,0.0,2.6
SANPANCRAZIO,44.80806,10.27245,2023-08-02T08:15:00Z,609,297.62,70,0.0,2.0
SANPANCRAZIO,44.80806,10.27245,2023-08-02T08:30:00Z,643,298.06,69,0.0,2.7
SANPANCRAZIO,44.80806,10.27245,2023-08-02T08:45:00Z,675,298.47,67,0.0,2.7
SANPANCRAZIO,44.80806,10.27245,2023-08-02T09:00:00Z,707,298.68,66,0.0,3.1
SANPANCRAZIO,44.80806,10.27245,2023-08-02T09:15:00Z,733,299.0,64,0.0,3.2
SANPANCRAZIO,44.80806,10.27245,2023-08-02T09:30:00Z,758,299.39,62,0.0,2.9
